id,goals,expectedGoals,bigChancesMissed,successfulDribbles,successfulDribblesPercentage,totalShots,shotsOnTarget,shotsOffTarget,blockedShots,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,hitWoodwork,offsides,penaltyConversion,setPieceConversion,rating,tackles,interceptions,penaltyConceded,clearances,errorLeadToGoal,errorLeadToShot,ownGoals,dribbledPast,cleanSheet,bigChancesCreated,assists,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,passToAssist,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,possessionLost,appearances,matchesStarted,saves,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,team,name,position,value
487,7,10.5,10,13,48.15,65,25,30,10,10.77,3,1,0,0,0,7,0,3,3,1,4,31,33.33,0,7.1,11,6,0,26,0,0,0,12,5,6,2,409,230,639,64.01,139,272,153,34,2,18.18,15,62.5,0,5,0,63,41.45,146,52.52,209,48.6,2329,43,40,34,382,29,25,0,0,0,0,0,27,5,0,0,0,0,0,mallorca,vedat-muriqi,F,11600000
488,0,0.44,0,8,88.89,6,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66,33,31,0,29,0,1,1,17,3,0,0,636,138,774,82.17,359,278,98,3,1,25,52,50.98,0,7,0,54,50.47,31,54.39,85,51.83,1578,14,31,8,156,29,18,0,0,0,0,0,17,4,0,0,0,0,0,mallorca,omar-mascarell,M,1000000
489,0,1.05,1,21,75,11,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82,50,20,0,19,0,0,0,30,0,2,2,662,119,781,84.76,293,373,182,16,4,23.53,34,52.31,0,2,0,95,58.64,17,54.84,112,58.03,1630,24,15,17,183,35,16,0,0,0,0,0,20,3,0,0,0,0,0,mallorca,manu-morlanes,M,2300000
490,0,0.33,0,1,33.33,9,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6.78,34,29,0,107,0,1,0,12,5,3,1,801,182,983,81.49,530,274,114,7,3,16.67,66,40.24,0,5,0,43,49.43,48,66.67,91,57.23,2354,10,29,2,238,28,28,0,0,0,0,0,28,6,0,0,0,0,0,mallorca,martin-valjent,D,6300000
491,3,4.32,6,21,37.5,43,12,21,10,6.98,1,0,0,3,0,3,0,0,3,0,2,21,0,0,6.78,40,11,0,12,0,0,0,21,1,2,2,574,140,714,80.39,199,383,195,24,8,19.51,23,46.94,0,3,0,129,49.62,24,36.36,153,46.93,2478,73,30,48,316,38,32,0,0,0,0,0,29,1,0,0,0,0,0,las-palmas,munir-el-haddadi,M,2300000
492,0,0,0,3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07,2,0,0,30,0,0,0,0,9,0,0,622,507,1129,55.09,338,284,104,4,0,0,354,41.4,0,2,0,8,100,6,66.67,14,82.35,3240,4,1,0,515,36,36,99,5,1,62,34,36,7,16,12,11,31,2,mallorca,predrag-rajkovic,G,9700000
493,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66,4,2,0,5,0,0,0,1,0,0,0,53,7,60,88.33,27,26,8,0,0,0,0,0,0,1,0,7,87.5,3,42.86,10,66.67,92,2,0,0,9,5,1,0,0,0,0,0,3,0,0,0,0,0,0,las-palmas,omenuke-mfulu,M,770000
494,2,2.23,1,34,61.82,32,12,8,12,6.25,0,0,0,1,0,1,1,0,0,2,1,1,0,0,7.05,39,16,0,14,0,0,0,19,3,8,5,659,170,829,79.49,229,483,232,52,53,35.57,57,51.35,1,4,0,108,56.84,8,36.36,116,54.72,2154,35,19,24,372,36,21,0,0,0,0,0,24,5,0,0,0,0,0,mallorca,sergi-darder,M,5600000
495,1,0.45,0,15,55.56,14,4,5,5,7.14,0,0,0,0,0,1,0,0,0,1,1,3,0,0,6.76,73,31,1,54,1,1,0,41,5,1,1,770,227,997,77.23,391,394,173,21,15,24.19,67,43.23,0,7,0,108,51.67,37,50,145,51.24,2463,20,38,15,351,34,27,0,0,0,0,0,24,5,0,0,0,0,0,mallorca,giovanni-gonzalez,D,3200000
496,1,0.54,0,4,50,7,1,4,2,14.29,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6.79,45,32,2,41,0,1,0,13,3,1,1,446,125,571,78.11,283,166,57,4,3,30,41,39.81,0,7,0,61,52.59,21,55.26,82,53.25,1335,13,36,3,153,19,17,0,0,0,0,0,16,4,0,0,0,0,0,mallorca,jose-copete,D,2500000
