id,name,team,rating,position,value
127,raul-fernandez,granada,6.35,G,195000
128,kaiky,almeria,6.55,D,1600000
129,leo-baptistao,almeria,6.83,F,1100000
130,maximiliano-gomez,cadiz,6.68,F,1800000
131,renato-tapia,celta-vigo,7.02,M,5300000
132,nacho-fernandez,real-madrid,6.87,D,3300000
133,kepa-arrizabalaga,real-madrid,7.04,G,12800000
134,mikel-merino,real-sociedad,7.22,M,52000000
135,sory-kaba,las-palmas,6.52,F,950000
136,arsen-zakharyan,real-sociedad,6.81,M,17500000
137,raul-de-tomas,rayo-vallecano,6.73,F,1100000
138,alberto-perea,granada,6.6,F,270000
139,famara-diedhiou,granada,6.76,F,525000
140,bebe,rayo-vallecano,6.67,F,550000
141,abdul-mumin,rayo-vallecano,6.87,D,4300000
142,jorge-de-frutos,rayo-vallecano,6.67,M,3600000
143,kike-salas,sevilla,6.91,D,8800000
144,adria-pedrosa,sevilla,6.89,D,5800000
145,joan-jordan,sevilla,6.78,M,3400000
146,rafa-mir,sevilla,6.69,F,1000000
147,jesus-corona,sevilla,6.7,M,3200000
148,marko-dmitrovic,sevilla,6.95,G,830000
149,xeber-alkain,deportivo-alaves,6.65,M,1400000
150,samuel-lino,atletico-madrid,7.21,M,31000000
151,axel-witsel,atletico-madrid,6.98,D,3700000
152,rodrigo-riquelme,atletico-madrid,6.87,M,27000000
153,juan-cruz,real-betis,6.6,M,2900000
154,eric-garcia,girona-fc,7.14,D,19400000
155,sergi-roberto,barcelona,7.04,M,2400000
156,ferran-torres,barcelona,6.93,F,32000000
157,alvaro-negredo,cadiz,6.65,F,320000
158,jose-mari,cadiz,6.6,M,180000
159,milutin-osmajic,cadiz,6.8,F,2200000
160,gorka-rivera,getafe,6.6,D,105000
161,santi-garcia,getafe,6.3,M,220000
162,raul-garcia-de-haro,osasuna,6.72,F,4099999
163,benat-prados,athletic-club,6.85,M,15500000
164,aitor-fernandez,osasuna,6.56,G,1700000
165,ibrahima-kone,almeria,6.56,F,2400000
166,arnau-puigmal,almeria,6.44,M,1400000
167,brahim-diaz,real-madrid,7.2,M,42000000
168,chumi,almeria,6.6,D,1700000
169,luis-maximiano,almeria,7.01,G,3900000
170,lucas-vazquez,real-madrid,7.24,D,4300000
171,dotor-carlos,celta-vigo,6.64,M,1500000
172,jon-pacheco,real-sociedad,6.82,D,15500000
173,carl-starfelt,celta-vigo,6.99,D,5500000
174,hugo-gonzalez,valencia,6.61,F,310000
175,julian-araujo,las-palmas,6.99,D,8199999
176,mika-marmol,las-palmas,6.85,D,13700000
177,benito-ramirez,las-palmas,6.63,M,650000
178,pejino,las-palmas,6.72,M,1100000
179,matteo-gabbia,villarreal,6.81,D,12400000
180,ben-brereton-diaz,villarreal,6.52,F,7700000
181,ilias-akhomach,villarreal,6.77,M,13900000
182,raul-albiol,villarreal,6.81,D,1400000
183,gonzalo-villar,granada,6.84,M,2800000
184,njegos-petrovic,granada,6.63,M,2600000
185,caglar-soyuncu,atletico-madrid,6.1,D,9300000
186,antonio-puertas,granada,6.53,M,2100000
187,jesus-vallejo,granada,6.43,D,1000000
188,stefan-savic,atletico-madrid,6.79,D,2100000
189,jose-callejon,granada,6.66,F,380000
190,alvaro-morata,atletico-madrid,6.98,F,16500000
191,yannick-carrasco,atletico-madrid,7.07,F,13300000
192,gerard-gumbau,granada,6.83,M,2900000
193,pablo-barrios,atletico-madrid,6.99,M,33000000
194,omorodion-samuel,deportivo-alaves,6.69,F,36000000
195,oscar-melendo,granada,6.62,M,1600000
196,ignasi-miquel,granada,6.76,D,1300000
197,neva-carlos,granada,6.66,D,2400000
198,miguel-rubio,granada,6.78,D,1400000
199,andre-ferreira,granada,6.81,G,740000
200,thomas-lemar,atletico-madrid,6.63,M,7700000
201,sergio-ruiz-alonso,granada,6.81,M,2100000
202,saul-niguez,atletico-madrid,6.92,M,4700000
203,angel-correa,atletico-madrid,7.03,F,19700000
204,memphis-depay,atletico-madrid,6.81,F,10300000
205,antoine-griezmann,atletico-madrid,7.45,F,24000000
206,bryan-zaragoza,granada,6.97,M,11200000
207,koke,atletico-madrid,7.06,M,11000000
208,ricard-sanchez,granada,6.66,D,2700000
209,mario-hermoso,atletico-madrid,7.02,D,17100000
210,jan-oblak,atletico-madrid,7.01,G,30000000
211,cesar-azpilicueta,atletico-madrid,6.88,D,1800000
212,rodrigo-de-paul,atletico-madrid,7.24,M,31000000
213,marcos-llorente,atletico-madrid,7,M,31000000
214,myrto-uzuni,granada,6.75,F,6200000
215,gonzalo-escalante,cadiz,6.62,M,1400000
216,mamadou-sylla,deportivo-alaves,6.55,F,1400000
217,kike-garcia,deportivo-alaves,6.84,F,1000000
218,lopez-javi,deportivo-alaves,6.82,D,8100000
219,abqar-abdelkabir,deportivo-alaves,6.82,D,7100000
220,abderrahman-rebbach,deportivo-alaves,6.7,M,775000
221,aleksandar-sedlar,deportivo-alaves,6.75,D,375000
222,ivan-alejo,cadiz,6.57,M,1500000
223,jon-guridi,deportivo-alaves,6.86,M,4700000
224,roger-marti,cadiz,6.88,F,1300000
225,chris-ramos,cadiz,6.78,F,3800000
226,fede-san-emeterio,cadiz,6.63,M,1500000
227,antonio-blanco,deportivo-alaves,6.79,M,7300000
228,miguel-de-la-fuente,deportivo-alaves,6.53,F,2600000
229,darwin-machis,cadiz,6.67,M,1600000
230,fali,cadiz,6.82,D,1400000
231,ruben-alcaraz,cadiz,6.97,M,1100000
232,luis-hernandez,cadiz,6.76,D,310000
233,javier-hernandez,cadiz,6.74,D,2400000
234,carlos-benavidez,deportivo-alaves,6.8,M,1400000
235,alex-fernandez,cadiz,6.74,M,1300000
236,jorge-mere,cadiz,6.64,D,1100000
237,lucas-pires,cadiz,6.68,D,2200000
238,jeremias-ledesma,cadiz,7.2,G,4600000
239,ruben-sobrino,cadiz,6.67,M,1100000
240,iza-carcelen,cadiz,6.76,D,1200000
241,andoni-gorosabel,deportivo-alaves,6.84,D,4900000
242,ruben-duarte,deportivo-alaves,6.85,D,3200000
243,rafa-marin,deportivo-alaves,6.85,D,8700000
244,ander-guevara,deportivo-alaves,6.78,M,5400000
245,antonio-sivera,deportivo-alaves,7.05,G,5600000
246,luis-rioja,deportivo-alaves,7.01,M,4300000
247,raphinha,barcelona,7.28,F,54000000
248,ansu-fati,barcelona,6.6,F,15600000
249,alejandro-balde,barcelona,6.84,D,44000000
250,abdessamad-ezzalzouli,real-betis,6.69,F,12800000
251,robert-lewandowski,barcelona,7.23,F,14000000
252,ilkay-gundogan,barcelona,7.48,M,11300000
253,oriol-romeu,barcelona,6.84,M,1900000
